"Construct","prior_alpha","prior_beta","PriorMean","PriorMode","prior_CredibleInterval_0.05","prior_CredibleInterval_0.95","posterior_alpha_Qual","posterior_beta_Qual","mode_posterior_Qual","mean_posterior_Qual","posterior_CredibleInterval_0.05_Qual","posterior_CredibleInterval_0.95_Qual","Total_N_Construct","Number_ofStudies_assessing_Construct","Pooled_LOGOdds_Ratio","LowerCI_LogOddsRatio","UpperCI_LogOddsRatio","N_PA_X","posterior_alpha","posterior_beta","acceptance_Metropolis_MCMC","mode_posterior","mean_posterior","posterior_CredibleInterval_0.05","posterior_CredibleInterval_0.95"
"Age",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,33.4251666666667,27.1915,0.55317315894228,0.551418751718449,0.446124562909724,0.654767086647529,30657,12,-0.410280838888763,-1.44179146602501,0.621229788247479,1092.26912093711,1125.69428760378,29591.9223790629,1.99999600003498e-06,0.0366163668406608,0.0366465373866499,0.0349005118938931,0.0384268645643526
"Comorbidity",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,28.4251666666667,32.1915,0.467873187375604,0.468933186692329,0.364840792631509,0.574201281112488,243,2,-0.941084645035231,-1.6450202729625,-0.237149017107963,3.97116253129993,32.3963291979666,271.2203374687,1.99999600003498e-06,0.104093482448914,0.106701419107317,0.0791462640213062,0.137204081252367
"SocialSupport",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,43.4251666666667,17.1915,0.723773102075633,0.71638988177069,0.617914414779364,0.806683330794054,333,1,0.76,0.257249704900957,1.26275029509904,2.75960680310605,46.1847734697727,347.431893196894,1.99999600003498e-06,0.115380108447307,0.117334395062301,0.091834004222539,0.145046856028026
"NegativeAttitute",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,9.42516666666667,11.1915,0.452560429722471,0.457162489894907,0.282943841197008,0.636223866608036,204,1,-0.51,-1.01275029509904,-0.00724970490095678,2.7478271446621,12.1729938113288,212.443672855338,3.99999200006995e-06,0.0501893859908457,0.0541945261319081,0.0318503079416509,0.0810452923270861
"PositiveAttitute",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,9.42516666666667,8.1915,0.539498399146211,0.535014191106906,0.342070078829334,0.723307802048664,286,2,1.01853801750108,0.057140610393587,1.97993542460858,-2.5742133584366,6.85095330823007,296.765713358437,1.99999600003498e-06,0.0193986405754437,0.0225644836413133,0.0105667445659165,0.038116256306377
"6MWT",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,8.42516666666667,24.1915,0.242520413718018,0.258308635666837,0.142998326448666,0.390701613919209,855,7,1.77173021012617,1.33029718351127,2.21316323674108,-11.2193146086787,-2.794147942012,890.410814608679,1.99999600003498e-06,-0.00428418760036735,-0.00314792189797998,NA,NA
"Functioning",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,8.42516666666667,24.1915,0.242520413718018,0.258308635666837,0.142998326448666,0.390701613919209,406,4,0.900889789732303,0.542260760931736,1.25951881853287,-4.68331030246684,3.74185636419983,434.874810302467,3.99999200006995e-06,0.00627977943474404,0.0085310400825318,0.00278932239957313,0.0167835859881204
"Symptoms",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,12.4251666666667,20.1915,0.373168209036472,0.380945324476239,0.247264863677341,0.523056199912248,909,2,0.475,0.11240666286009,0.83759333713991,31.465109556706,43.8902762233727,897.726390443294,1.99999600003498e-06,0.0456465681643642,0.0466116178452371,0.035890531958603,0.0584271118480292
"LVEF",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,8.42516666666667,24.1915,0.242520413718018,0.258308635666837,0.142998326448666,0.390701613919209,1378,6,0.161631057207389,-0.479197732543117,0.802459846957896,20.3798551595796,28.8050218262462,1381.81164484042,3.99999200006995e-06,0.0197392395562405,0.0204201626897784,0.0146380623099189,0.0269743049626392
"SelfEfficacy",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,46.4251666666667,14.1915,0.774953085015638,0.765881220786362,0.672303833164378,0.849411619296959,1548,11,0.835118614920262,0.255348021851709,1.41488920798881,1.40901142052386,47.8341780871905,1560.78248857948,1.99999600003498e-06,0.0291508105566712,0.0297362193730786,0.0231199557043203,0.037016813003275
