"LogOR","LogOR_CI_lower","LogOR_CI_upper","posterior_alpha","posterior_beta","MAP","posterior_CredibleInterval_0.05","posterior_CredibleInterval_0.95","uncertainty","seed","Construct_name"
-0.410280838888763,-1.44179146602501,0.621229788247479,6575.42516666667,24142.1915,0.214060395310617,0.210221633750996,0.217920325584048,10,1642372070,"Age"
-0.941084645035231,-1.6450202729625,-0.237149017107963,85.4251666666667,218.1915,0.281358621068233,0.239806784870854,0.324550683862213,10,1642372070,"Comorbidity"
0.76,0.257249704900957,1.26275029509904,136.425166666667,257.1915,0.346593978913494,0.307631296151001,0.386444103003795,10,1642372070,"SocialSupport"
-0.51,-1.01275029509904,-0.00724970490095678,33.4251666666667,191.1915,0.148809824144839,0.111684527921857,0.189495724532334,10,1642372070,"NegativeAttitute"
1.01853801750108,0.057140610393587,1.97993542460858,96.4251666666667,207.1915,0.317588516221112,0.274399070603355,0.362146477260165,10,1642372070,"PositiveAttitute"
1.77173021012617,1.33029718351127,2.21316323674108,276.425166666667,611.1915,0.311424038154609,0.286114082290138,0.337217396328522,10,1642372070,"6MWT"
0.900889789732303,0.542260760931736,1.25951881853287,91.4251666666667,347.1915,0.208439791769579,0.177343289521673,0.241049390283761,10,1642372070,"Functioning"
0.475,0.11240666286009,0.83759333713991,213.425166666667,728.1915,0.226658229640512,0.204561457730306,0.249415450857585,10,1642372070,"Symptoms"
0.161631057207389,-0.479197732543117,0.802459846957896,453.425166666667,957.1915,0.321437550952893,0.301135306561034,0.342027759908359,10,1642372070,"LVEF"
0.835118614920262,0.255348021851709,1.41488920798881,598.425166666667,1010.1915,0.372012287990717,0.352286099018313,0.391919468744932,10,1642372070,"SelfEfficacy"
-0.410280838888763,-1.44179146602501,0.621229788247479,7711.42516666667,23006.1915,0.251042431134794,0.246982274321649,0.255121018823697,10,1642372071,"Age"
-0.941084645035231,-1.6450202729625,-0.237149017107963,60.4251666666667,243.1915,0.199017950266235,0.162543560120197,0.237749735831444,10,1642372071,"Comorbidity"
0.76,0.257249704900957,1.26275029509904,112.425166666667,281.1915,0.285620951009866,0.248841965795583,0.323640017949478,10,1642372071,"SocialSupport"
-0.51,-1.01275029509904,-0.00724970490095678,44.4251666666667,180.1915,0.197782147362173,0.155734593989329,0.242894999525808,10,1642372071,"NegativeAttitute"
1.01853801750108,0.057140610393587,1.97993542460858,89.4251666666667,214.1915,0.294533128396553,0.252348195114286,0.338259491451029,10,1642372071,"PositiveAttitute"
1.77173021012617,1.33029718351127,2.21316323674108,431.425166666667,456.1915,0.486048970088439,0.458486076253706,0.513647627933061,10,1642372071,"6MWT"
