"Construct","prior_alpha","prior_beta","PriorMean","PriorMode","prior_CredibleInterval_0.05","prior_CredibleInterval_0.95","posterior_alpha_Qual","posterior_beta_Qual","mode_posterior_Qual","mean_posterior_Qual","posterior_CredibleInterval_0.05_Qual","posterior_CredibleInterval_0.95_Qual","Total_N_Construct","Number_ofStudies_assessing_Construct","Pooled_LOGOdds_Ratio","LowerCI_LogOddsRatio","UpperCI_LogOddsRatio","N_PA_X","posterior_alpha","posterior_beta","acceptance_Metropolis_MCMC","mode_posterior","mean_posterior","posterior_CredibleInterval_0.05","posterior_CredibleInterval_0.95"
"Age",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,33.4251666666667,27.1915,0.55317315894228,0.551418751718449,0.446124562909724,0.654767086647529,30657,12,-0.410280838888763,-1.44179146602501,0.621229788247479,1580.39948124875,1613.82464791542,29103.7920187512,1.99999600003498e-06,0.0525082945726984,0.0525374304077004,0.0504602869014474,0.054647699689415
"Comorbidity",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,28.4251666666667,32.1915,0.467873187375604,0.468933186692329,0.364840792631509,0.574201281112488,243,2,-0.941084645035231,-1.6450202729625,-0.237149017107963,2.76332241501386,31.1884890816805,272.428177584986,1.99999600003498e-06,0.100088928822503,0.102723244491455,0.0756698410732661,0.132753772766795
"SocialSupport",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,43.4251666666667,17.1915,0.723773102075633,0.71638988177069,0.617914414779364,0.806683330794054,333,1,0.76,0.257249704900957,1.26275029509904,-7.10476142975271,36.320405236914,357.296261429753,1.99999600003498e-06,0.0901912718310779,0.0922735450825607,0.0695409671690052,0.117362304334908
"NegativeAttitute",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,9.42516666666667,11.1915,0.452560429722471,0.457162489894907,0.282943841197008,0.636223866608036,204,1,-0.51,-1.01275029509904,-0.00724970490095678,-5.43213012332451,3.99303654334216,220.623630123324,1.99999600003498e-06,0.0134447999251725,0.017777116019925,0.00611441819950935,0.0342631868923243
"PositiveAttitute",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,9.42516666666667,8.1915,0.539498399146211,0.535014191106906,0.342070078829334,0.723307802048664,286,2,1.01853801750108,0.057140610393587,1.97993542460858,-9.06535680427736,0.359809862389305,303.256856804277,1.99999600003498e-06,-0.00212252905214354,0.0011850794172124,5.78679472269686e-07,0.00510386572278747
"6MWT",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,8.42516666666667,24.1915,0.242520413718018,0.258308635666837,0.142998326448666,0.390701613919209,855,7,1.77173021012617,1.33029718351127,2.21316323674108,-23.3515996071265,-14.9264329404599,902.543099607127,3.99999200006995e-06,-0.0179834385913317,-0.0168163053951141,NA,NA
"Functioning",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,8.42516666666667,24.1915,0.242520413718018,0.258308635666837,0.142998326448666,0.390701613919209,406,4,0.900889789732303,0.542260760931736,1.25951881853287,11.6054234924387,20.0305901591054,418.586076507561,1.99999600003498e-06,0.0435864950011957,0.0456676448510971,0.0305480169534002,0.063140049968304
"Symptoms",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,12.4251666666667,20.1915,0.373168209036472,0.380945324476239,0.247264863677341,0.523056199912248,909,2,0.475,0.11240666286009,0.83759333713991,16.2818163161235,28.7069829827901,912.909683683877,3.99999200006995e-06,0.029487538871657,0.0304869104371455,0.0218764908492702,0.0402299037965453
"LVEF",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,8.42516666666667,24.1915,0.242520413718018,0.258308635666837,0.142998326448666,0.390701613919209,1378,6,0.161631057207389,-0.479197732543117,0.802459846957896,11.2722879268,19.6974545934666,1390.9192120732,3.99999200006995e-06,0.0132736286854479,0.0139637188889965,0.00924694497439941,0.0194622234387594
"SelfEfficacy",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,46.4251666666667,14.1915,0.774953085015638,0.765881220786362,0.672303833164378,0.849411619296959,1548,11,0.835118614920262,0.255348021851709,1.41488920798881,-22.3319182905936,24.0932483760731,1584.52341829059,3.99999200006995e-06,0.0143738384240628,0.0149776195132918,0.010363288507456,0.020276345532199
